"X (Hz),""Ch-2 (dBV)"""
20,-0.104048624479684
21.5960205965162,-0.140773378345302
23.3194052802576,-0.121947659911198
25.1803178365477,-0.128753784764532
27.1897331312454,-0.127987711206716
29.3595018358078,-0.121023639933107
31.702420317478,-0.112118188063485
34.2323061067835,-0.123042960901553
36.9640793874172,-0.114652678207825
39.9138509890961,-0.110871146311388
43.09901740234,-0.119682935739194
46.5383633755273,-0.109742775026042
50.2521726993022,-0.117032058277399
54.262347831691,-0.115265430869537
58.5925390694263,-0.115928595469821
63.2682840272756,-0.115082335006335
68.3171582479641,-0.117188957620297
73.7689378309246,-0.11716744282701
79.6557750389886,-0.119738575571715
86.012387918673,-0.122066844645003
92.8762650523603,-0.124033366319303
100.287886649914,-0.109924709740263
108.290963283631,-0.111783073886744
116.932693674494,-0.132675058571473
126.264043050025,-0.134931605083756
136.340043715387,-0.142054191188497
147.220119610371,-0.150512085349633
158.968436766358,-0.155980085588466
171.654281730112,-0.163958251748908
185.352470186185,-0.168646052836825
200.143788187801,-0.181552548976227
216.115468598426,-0.194033002376911
233.361705553869,-0.210034470674365
251.984209978975,-0.227508263428078
272.092809435141,-0.247866790570336
293.806095836263,-0.26877027765534
317.252124853098,-0.296360981685943
342.569171130802,-0.329953539810932
369.906543773614,-0.364691510556532
399.425466906055,-0.406184465745743
431.300030503814,-0.453098178507626
465.718217101922,-0.506140499153988
502.883010435296,-0.569566180514037
543.013592549937,-0.642025895051865
586.346636444835,-0.724580945143774
633.137701868034,-0.816775932744031
683.66274249865,-0.923664944955216
738.219733403581,-1.04493027084953
797.130428366923,-1.18220537970071
860.742257456093,-1.33723438827554
929.430376015683,-1.50970827679229
1003.59987717313,-1.70244496001093
1083.6881809046,-1.91621390634184
1170.16761375084,-2.15400597568078
1263.54819439697,-2.41548702811963
1364.3806415444,-2.70016424377414
1473.25962181404,-3.00995379779079
1590.82725683559,-3.34581025589875
1717.77691020604,-3.70701748672127
1854.85727665148,-4.11368974759211
2002.87679750817,-4.50437939592138
2162.70842856354,-4.93698133833236
2335.29478837587,-5.39261806876022
2521.65371743512,-5.87029993240837
2722.88428095052,-6.36592182940027
2940.17325066689,-6.88038298326902
3174.80210393641,-7.41139362872166
3428.15458132369,-7.9587709223458
3701.72484731539,-8.52011536086834
3997.12630226295,-9.09231175368644
4316.10109752737,-9.67592841408953
4660.53040994237,-10.2770064172875
5032.44553619028,-10.8626932338982
5434.03987252057,-11.4726618229643
5867.68185046223,-12.089547266846
6335.92890481934,-12.7130848082644
6841.54255632705,-13.3415883711512
7387.50469791906,-13.9744448552352
7977.03518065602,-14.6100672738324
8613.61080302909,-15.2502201411949
9300.98581562955,-15.8936704090011
10043.214062112,-16.5404649440752
10844.6728870297,-17.1879119580216
11710.0889515387,-17.8378976802725
12644.5661092233,-18.4885287295568
13653.6155064399,-19.1407856970749
14743.1880846995,-19.7955824486957
15919.7096767741,-20.4501560122345
17190.1189035086,-21.1061036654261
18561.9080948367,-21.7628384881548
20043.1674763368,-22.4223519164968
21642.6328819196,-23.0763571645774
23369.7372740388,-23.7314366752757
25234.6663752657,-24.3880871587449
27248.4187393227,-25.0465725658617
29422.8706158456,-25.7093589541058
31770.8459914217,-26.3665730277237
34306.1922199744,-27.024834621504
37043.8616885306,-27.6837927603183
40000.0000000002,-28.3464755612771
